epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,881.315,1.15205,2.35191,1.56952,0.46647,0.54522,0.50515,0.30383,1.35576,2.06447,1.55443,0.00999739,0.00333246,0.00999739,0.00333246,0.00999739,0.00333246,0.00999739,0.00333246
2,1695.72,1.20395,1.57698,1.60549,0.55167,0.56882,0.5238,0.29321,1.50554,1.7202,1.70234,0.0197146,0.00657152,0.0197146,0.00657152,0.0197146,0.00657152,0.0197146,0.00657152
3,2502.95,1.27886,1.57705,1.68574,0.33289,0.47761,0.38684,0.19896,1.64256,1.9997,1.88208,0.0291489,0.0097163,0.0291489,0.0097163,0.0291489,0.0097163,0.0291489,0.0097163
4,3312.9,1.29173,1.55017,1.70959,0.50894,0.5865,0.54344,0.30208,1.52834,1.56603,1.74377,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,4110.36,1.20042,1.35324,1.618,0.58042,0.63186,0.64886,0.37639,1.42513,1.35903,1.6379,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,4906.66,1.1434,1.22673,1.56085,0.61521,0.63791,0.65198,0.38793,1.4337,1.30312,1.63837,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,5702.12,1.09665,1.14086,1.51414,0.69026,0.64981,0.69131,0.42647,1.32637,1.21283,1.54509,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,6498.29,1.06252,1.0579,1.47893,0.67582,0.65141,0.70449,0.43889,1.36753,1.18978,1.54557,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,7294.99,1.03982,1.01423,1.45675,0.68569,0.68075,0.69314,0.43066,1.34197,1.12415,1.51256,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,8092.67,1.0034,0.96871,1.42332,0.75299,0.67542,0.73469,0.49925,1.15882,1.02662,1.38743,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,8877.68,0.97756,0.92401,1.39773,0.70679,0.74435,0.75017,0.54116,0.9906,0.95929,1.30477,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,9664.27,0.93678,0.8959,1.36604,0.69655,0.67344,0.72031,0.52955,0.92044,1.04011,1.2537,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,10450.7,0.91351,0.86378,1.34782,0.7648,0.70478,0.77229,0.57014,0.92788,0.92877,1.2471,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,11237.3,0.89038,0.83083,1.32272,0.74885,0.70846,0.7743,0.58128,0.89203,0.92319,1.22621,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,12023.9,0.86786,0.79894,1.30445,0.78206,0.68232,0.77358,0.58376,0.88654,0.89926,1.22374,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,12810.6,0.85827,0.79067,1.29853,0.777,0.7415,0.79999,0.62404,0.83743,0.84794,1.18591,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,13598.2,0.84294,0.76309,1.28155,0.73367,0.74905,0.78194,0.60437,0.81508,0.85726,1.18715,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,14401,0.82972,0.74966,1.27038,0.72869,0.75167,0.79832,0.62938,0.80361,0.79849,1.16493,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,15225.1,0.81944,0.72804,1.26084,0.74197,0.75017,0.79432,0.6252,0.79914,0.83281,1.16871,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,16071.9,0.80568,0.71399,1.24987,0.78161,0.71624,0.79126,0.62566,0.81021,0.81779,1.18013,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,16918.2,0.79663,0.69507,1.24525,0.80803,0.72613,0.79034,0.62528,0.7889,0.80755,1.15522,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,17762.1,0.79019,0.68618,1.23459,0.74871,0.74732,0.80503,0.64305,0.77603,0.78332,1.14858,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,18591.7,0.78246,0.66976,1.22512,0.76874,0.73035,0.79368,0.63773,0.7716,0.77072,1.14196,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,19424.3,0.77317,0.66072,1.21845,0.77886,0.73769,0.80262,0.64562,0.77064,0.78934,1.15608,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,20259.7,0.76748,0.65248,1.21062,0.77483,0.72188,0.80309,0.64197,0.7582,0.75074,1.14033,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,21096.4,0.75378,0.62946,1.20123,0.77182,0.75513,0.81502,0.66051,0.7515,0.7486,1.13736,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,21930.9,0.74037,0.61627,1.18801,0.77609,0.76253,0.80718,0.65965,0.73351,0.74136,1.12626,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,22766.5,0.74458,0.61398,1.19146,0.72691,0.76863,0.80598,0.65439,0.7389,0.73671,1.1372,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,23594.4,0.73471,0.60097,1.18104,0.73523,0.78418,0.80397,0.65773,0.71242,0.73073,1.10473,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,24425.8,0.72972,0.5985,1.18038,0.72992,0.78563,0.81272,0.6637,0.71204,0.70569,1.10985,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,25261.8,0.72488,0.58482,1.1743,0.78131,0.77367,0.81669,0.66592,0.72119,0.72349,1.11152,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,26098.3,0.71479,0.57114,1.16944,0.75184,0.77957,0.81078,0.66209,0.71493,0.71952,1.10666,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,26932.7,0.70961,0.56627,1.16044,0.77393,0.78462,0.81869,0.66851,0.69962,0.69788,1.09414,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,27768.6,0.70252,0.55871,1.15564,0.75049,0.78125,0.81499,0.66505,0.71574,0.70154,1.1078,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,28604.3,0.69546,0.54637,1.15106,0.77543,0.77045,0.81618,0.66807,0.7146,0.68911,1.10725,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,29439.6,0.69161,0.54083,1.14468,0.78744,0.77348,0.81895,0.67234,0.70701,0.68881,1.10475,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,30273.9,0.68642,0.53687,1.14206,0.79124,0.7771,0.8153,0.6698,0.69077,0.69417,1.09923,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
