epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.865,1.34468,2.15246,1.63604,0.48961,0.5273,0.52345,0.32649,1.27508,1.82498,1.56585,0.000416558,0.000416558,0.000416558
2,1663.28,1.32804,1.73244,1.63008,0.5944,0.57649,0.62393,0.38326,1.3078,1.55567,1.55154,0.000805728,0.000805728,0.000805728
3,2541.14,1.28182,1.61788,1.59616,0.57566,0.62718,0.64157,0.42081,1.16831,1.39271,1.4722,0.0011674,0.0011674,0.0011674
4,3418.4,1.24314,1.5259,1.56855,0.60758,0.66368,0.68708,0.47033,1.11659,1.24941,1.40677,0.00112625,0.00112625,0.00112625
5,4300.34,1.18112,1.41248,1.51819,0.7311,0.62958,0.70802,0.51487,0.95816,1.18259,1.29649,0.001085,0.001085,0.001085
6,5170.69,1.14293,1.3181,1.48183,0.73573,0.65372,0.73413,0.53311,0.99295,1.09583,1.31131,0.00104375,0.00104375,0.00104375
7,6059.35,1.11202,1.26185,1.46305,0.73104,0.66937,0.74003,0.55326,0.91879,1.07741,1.27314,0.0010025,0.0010025,0.0010025
8,6882.57,1.08171,1.21362,1.43885,0.78538,0.68105,0.77386,0.57934,0.92793,0.94037,1.26171,0.00096125,0.00096125,0.00096125
9,7707.59,1.07176,1.17439,1.43059,0.75614,0.69752,0.74342,0.56645,0.87899,0.93386,1.22822,0.00092,0.00092,0.00092
10,8528.42,1.04863,1.13316,1.416,0.76294,0.71976,0.77486,0.59943,0.84758,0.87184,1.222,0.00087875,0.00087875,0.00087875
11,9345.87,1.03238,1.09906,1.39995,0.73219,0.73748,0.78426,0.60502,0.83802,0.89211,1.19904,0.0008375,0.0008375,0.0008375
12,10159.9,1.01776,1.07242,1.39021,0.78268,0.72142,0.79527,0.62068,0.84659,0.84573,1.20319,0.00079625,0.00079625,0.00079625
13,11020.7,1.00388,1.0448,1.37742,0.79175,0.72953,0.80421,0.61225,0.87114,0.83798,1.21038,0.000755,0.000755,0.000755
14,11916.6,0.98919,1.01961,1.36363,0.77576,0.74491,0.80168,0.62617,0.84146,0.82286,1.2028,0.00071375,0.00071375,0.00071375
15,12753.2,0.97516,1.00162,1.35151,0.73491,0.75686,0.79627,0.61512,0.85627,0.81842,1.20453,0.0006725,0.0006725,0.0006725
16,13578.9,0.95991,0.97791,1.34358,0.77539,0.75545,0.81467,0.64391,0.79018,0.79138,1.16129,0.00063125,0.00063125,0.00063125
17,14404.9,0.951,0.9552,1.33289,0.7575,0.73952,0.80476,0.64273,0.78146,0.78678,1.15684,0.00059,0.00059,0.00059
18,15227.5,0.93234,0.93469,1.32152,0.80101,0.7433,0.82384,0.65454,0.76893,0.75121,1.14689,0.00054875,0.00054875,0.00054875
19,16054.8,0.9184,0.91181,1.31189,0.77598,0.77127,0.83251,0.6724,0.7476,0.73319,1.13865,0.0005075,0.0005075,0.0005075
20,16882.6,0.91021,0.90381,1.30507,0.77728,0.78109,0.83529,0.67575,0.74857,0.71563,1.14572,0.00046625,0.00046625,0.00046625
21,17659.9,0.77027,0.66809,1.24732,0.78898,0.74553,0.82785,0.66156,0.77498,0.69575,1.13901,0.000425,0.000425,0.000425
22,18430.7,0.74169,0.6351,1.22808,0.77129,0.78373,0.83507,0.67812,0.73832,0.70386,1.12459,0.00038375,0.00038375,0.00038375
23,19203.2,0.73013,0.61435,1.21631,0.81816,0.7628,0.83912,0.67696,0.72781,0.6911,1.10801,0.0003425,0.0003425,0.0003425
24,19979.1,0.70985,0.59484,1.19805,0.77509,0.79356,0.84099,0.68629,0.72237,0.64549,1.10804,0.00030125,0.00030125,0.00030125
25,20752.2,0.69391,0.56526,1.18813,0.79801,0.76618,0.84438,0.69365,0.70808,0.65979,1.09748,0.00026,0.00026,0.00026
26,21532.2,0.67746,0.5506,1.17327,0.77978,0.78676,0.84369,0.69972,0.68627,0.66163,1.08571,0.00021875,0.00021875,0.00021875
27,22306.1,0.66488,0.53578,1.16689,0.79351,0.77351,0.84469,0.69434,0.69705,0.64575,1.09123,0.0001775,0.0001775,0.0001775
28,23078.8,0.65009,0.52175,1.15278,0.79624,0.77721,0.84836,0.70074,0.68897,0.64478,1.08774,0.00013625,0.00013625,0.00013625
29,23852.1,0.63887,0.50375,1.14019,0.8159,0.78286,0.85108,0.70436,0.6774,0.62888,1.07903,9.5e-05,9.5e-05,9.5e-05
30,24625.4,0.62586,0.49223,1.13047,0.80059,0.78046,0.84842,0.69855,0.68735,0.6276,1.08527,5.375e-05,5.375e-05,5.375e-05
